chart,position,song,artist,album
2242,16,Pink + White,Frank Ocean,Blonde
2242,17,Cherry Bomb,Isabella Lovestory,Amor Hardcore
2242,18,Flyway,Kero Kero Bonito,Time n Place
2242,19,Happy New Year,Let's Eat Grandma,Two Ribbons
2242,20,Days That Got Away,MGMT,Little Dark Age
2242,21,Little Dark Age,MGMT,Little Dark Age
2242,22,She Works Out Too Much,MGMT,Little Dark Age
2242,23,When You Die,MGMT,Little Dark Age
2242,24,Midnight Rain,Taylor Swift,Midnights
2242,25,Happiness,The 1975,Being Funny in a Foreign Language
2242,26,Pineapple Slice,"Tove Lo, SG Lewis",Dirt Femme
2242,27,UNNATURAL,WJSN,UNNATURAL
2242,28,Formidable Cool,Wolf Alice,Visions of a Life
2242,29,Giant Peach,Wolf Alice,My Love Is Cool
2242,30,Yuk Foo,Wolf Alice,Visions of a Life
2242,31,Lottery Noises,Alvvays,Blue Rev
2242,32,Velveteen,Alvvays,Blue Rev
2242,33,Chateau,Angus & Julia Stone,Snow
2242,34,HEATED,Beyoncé,RENAISSANCE
2242,35,Shooting Star,Carly Rae Jepsen,The Loneliest Time
2242,36,Backseat,"Charli XCX, Carly Rae Jepsen",Pop 2
2242,37,Yuck,Charli XCX,CRASH
2242,38,Hearts On Fire,Cut Copy,In Ghost Colours
2242,39,Face to Face,"Daft Punk, Todd Edwards",Discovery
2242,40,Doors Unlocked and Open,Death Cab for Cutie,Codes and Keys
2242,41,J.us.T,Eyedi,
2242,42,Harden the Paint,Foster the People,III
2242,43,Live Those Days Tonight,Friendly Fires,Pala
2242,44,Paris,Friendly Fires,Friendly Fires
2242,45,Violence,"Grimes, i_o",Miss Anthropocene
2242,46,Very Very Very,I.O.I,Miss Me?
2242,47,Fashion Freak,Isabella Lovestory,Amor Hardcore
2242,48,On To The Next One,"JAY-Z, Swizz Beatz",The Blueprint 3
2242,49,Happy Ending,Kelela,
2242,50,ANTIFRAGILE,LE SSERAFIM,ANTIFRAGILE
2243,1,ANTIFRAGILE,LE SSERAFIM,ANTIFRAGILE
2243,2,Bad Thing Twice,Carly Rae Jepsen,The Loneliest Time
2243,3,Blue Flame,LE SSERAFIM,FEARLESS
2243,4,Slowly Separate,Crows,Beware Believers
2243,5,woe,Shygirl,Nymph
2243,6,Cornerstone,Arctic Monkeys,Humbug
2243,7,Pharmacist,Alvvays,Blue Rev
2243,8,Shlut,Shygirl,Nymph
2243,9,Winter Solstice,Phoenix,Alpha Zulu
2243,10,Attention Whore,"Tove Lo, Channel Tres",Dirt Femme
2243,11,After the Earthquake,Alvvays,Blue Rev
2243,12,Bored in Bristol,Alvvays,Blue Rev
2243,13,Lottery Noises,Alvvays,Blue Rev
2243,14,Pomeranian Spinster,Alvvays,Blue Rev
2243,15,Velveteen,Alvvays,Blue Rev
2243,16,Don't Press Me,Dry Cleaning,Stumpwork
2243,17,Late Night Talking,Harry Styles,Harry's House
2243,18,Risingson,Massive Attack,Mezzanine
2243,19,Your Age,Rina Sawayama,Hold the Girl
2243,20,TDLY (Homegrown Land),Sudan Archives,Natural Brown Prom Queen
2243,21,Prom,SZA,Ctrl
2243,22,Bejeweled,Taylor Swift,Midnights
2243,23,About You,The 1975,Being Funny in a Foreign Language
2243,24,Grapejuice,Tove Lo,Dirt Femme
2243,25,Julien,Carly Rae Jepsen,Dedicated
2243,26,Stay Away,Carly Rae Jepsen,Dedicated Side B
2243,27,The Loneliest Time,"Carly Rae Jepsen, Rufus Wainwright",The Loneliest Time
2243,28,When I Needed You,Carly Rae Jepsen,Emotion
2243,29,Wrong Opinion,Chairlift,Something
2243,30,Pink + White,Frank Ocean,Blonde
2243,31,As It Was,Harry Styles,Harry's House
2243,32,Daylight,Harry Styles,Harry's House
2243,33,Grapejuice,Harry Styles,Harry's House
2243,34,Music for a Sushi Restaurant,Harry Styles,Harry's House
2243,35,Fearless,LE SSERAFIM,FEARLESS
2243,36,The Great Mermaid,LE SSERAFIM,FEARLESS
2243,37,Too Young,Phoenix,United
2243,38,Fire Bomb,Rihanna,Rated R
2243,39,Rude Boy,Rihanna,Rated R
2243,40,Shotgun,Soccer Mommy,Sometimes Forever
2243,41,Karma,Taylor Swift,Midnights
2243,42,Lavender Haze,Taylor Swift,Midnights
2243,43,House of Balloons / Glass Table Girls,The Weeknd,House of Balloons
2243,44,Pineapple Slice,"Tove Lo, SG Lewis",Dirt Femme
2243,45,Formidable Cool,Wolf Alice,Visions of a Life
2243,46,Tom Verlaine,Alvvays,Blue Rev
2243,47,Very Online Guy,Alvvays,Blue Rev
2243,48,Crying Lightning,Arctic Monkeys,Humbug
2243,49,positions,Ariana Grande,Positions
2243,50,YO VISTO ASÍ,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO
