chart,position,song,artist,album
2205,3,Get Into It (Yuh),Doja Cat,Planet Her
2205,4,Head On Fire,"Griff, Sigrid",
2205,5,One,Amber Mark,Three Dimensions Deep
2205,6,Elephant,Tame Impala,
2205,7,FOMO,Amber Mark,Three Dimensions Deep
2205,8,Foreign Things,Amber Mark,Three Dimensions Deep
2205,9,What It Is,Amber Mark,Three Dimensions Deep
2205,10,Been Like This,Doja Cat,Planet Her
2205,11,Girl,Jamie xx,In Colour
2205,12,Blood On The Leaves,Kanye West,Yeezus
2205,13,On Sight,Kanye West,Yeezus
2205,14,The Art of Peer Pressure,Kendrick Lamar,good kid m.A.A.d city
2205,15,Butterfly,LOONA,[X X]
2205,16,brutal,Olivia Rodrigo,Sour
2205,17,L'enfer,Stromae,Multitude
2205,18,Sacrifice,The Weeknd,Dawn FM
2205,19,Small Reminders,Tinashe,333
2205,20,Luck of Lucien,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm
2205,21,Cocoa Butter Kisses,Chance the Rapper,Acid Rap
2205,22,Elevator Operator,Courtney Barnett,Sometimes I Sit and Think and Sometimes I Just Sit
2205,23,Robot Rock,Daft Punk,Human After All
2205,24,Voyager,Daft Punk,Discovery
2205,25,Go To Town,Doja Cat,Amala
2205,26,Why Why,"Doja Cat, Gunna",Planet Her
2205,27,Woman,Doja Cat,Planet Her
2205,28,MAGO,GFRIEND,回:Walpurgis Night
2205,29,Violence,"Grimes, i_o",Miss Anthropocene
2205,30,I'm In It,Kanye West,Yeezus
2205,31,Send It Up,Kanye West,Yeezus
2205,32,Backseat Freestyle,Kendrick Lamar,good kid m.A.A.d city
2205,33,m.A.A.d city,"Kendrick Lamar, MC Eiht",good kid m.A.A.d city
2205,34,Money Trees,"Kendrick Lamar, Jay Rock",good kid m.A.A.d city
2205,35,Sherane a.k.a Master Splinter's Daughter,Kendrick Lamar,good kid m.A.A.d city
2205,36,Domino,Magdalena Bay,Mercurial World
2205,37,Impact,"SG Lewis, Robyn, Channel Tres",times
2205,38,Gasoline,The Weeknd,Dawn FM
2205,39,BagBak,Vince Staples,Big Fish Theory
2205,40,The Great Artist,Jolin Tsai,Muse
2205,41,More Than a Woman,Aaliyah,Aaliyah
2205,42,Softly,Amber Mark,Three Dimensions Deep
2205,43,The Suburbs,Arcade Fire,The Suburbs
2205,44,motive,"Ariana Grande, Doja Cat",positions
2205,45,Oxytocin,Billie Eilish,Happier Than Ever
2205,46,I Belong In Your Arms,Chairlift,Something
2205,47,Say the Name,clipping.,Visions of Bodies Being Burned
2205,48,Nobody Really Cares If You Don't Go to the Party,Courtney Barnett,Sometimes I Sit and Think and Sometimes I Just Sit
2205,49,Cpr,CupcakKe,Queen Elizabitch
2205,50,Da Funk,Daft Punk,Homework
2206,1,SAOKO,ROSALÍA,MOTOMAMI
2206,2,Head On Fire,"Griff, Sigrid",
2206,3,Wat U Sed,"Isaiah Rashad, Doechii, Kal Banx",The House Is Burning
2206,4,One,Amber Mark,Three Dimensions Deep
2206,5,Pedestrian at Best,Courtney Barnett,Sometimes I Sit and Think and Sometimes I Just Sit
2206,6,Oxytocin,Billie Eilish,Happier Than Ever
2206,7,Girl,Jamie xx,In Colour
2206,8,CORSO,"Tyler, The Creator",CALL ME IF YOU GET LOST
2206,9,Musician,Porter Robinson,Nurture
2206,10,What It Is,Amber Mark,Three Dimensions Deep
2206,11,Happier Than Ever,Billie Eilish,Happier Than Ever
2206,12,Road Head,Japanese Breakfast,Soft Sounds from Another Planet
2206,13,Send It Up,Kanye West,Yeezus
2206,14,Dawning Of The Season,Magdalena Bay,Mercurial World
2206,15,Secrets (Your Fire),Magdalena Bay,Mercurial World
2206,16,Stay Soft,Mitski,Laurel Hell
2206,17,Working For The Knife,Mitski,Laurel Hell
2206,18,Silk Chiffon,"MUNA, Phoebe Bridgers",MUNA
2206,19,This Tornado Loves You,Neko Case,Middle Cyclone
2206,20,Late Night,ODESZA,A Moment Apart
2206,21,Survivor's Guilt,"Saba, G Herbo",Few Good Things
2206,22,How Long,Tove Lo,Dirt Femme
2206,23,Most Men,Amber Mark,Three Dimensions Deep
2206,24,Poet,Bastille,All This Bad Blood
2206,25,What The Water Gave Me,Florence + The Machine,Ceremonials
2206,26,"I am not a woman, I'm a god",Halsey,If I Can't Have Love I Want Power
2206,27,Guilt Trip,Kanye West,Yeezus
2206,28,Introvert,Little Simz,Sometimes I Might Be Introvert
2206,29,Chaeri,Magdalena Bay,Mercurial World
2206,30,Dingga,MAMAMOO,TRAVEL
2206,31,The Only Heartbreaker,Mitski,Laurel Hell
2206,32,Succession (Main Title Theme) Extended Intro Version,Nicholas Britell,Succession: Season 2 
2206,33,deja vu,Olivia Rodrigo,SOUR
2206,34,Zimzalabim,Red Velvet,The ReVe Festival Day 1
2206,35,Valentine,Snail Mail,Valentine
2206,36,Elephant,Tame Impala,Lonerism
2206,37,Bouncin,Tinashe,333
2206,38,Undo (Back To My Heart),"Tinashe, Wax Motif",333
2206,39,Fluffy,Wolf Alice,My Love Is Cool
2206,40,Giant Peach,Wolf Alice,My Love Is Cool
2206,41,How Can I Make It OK?,Wolf Alice,Blue Weekend
2206,42,HANN (Alone),(G)I-DLE,
2206,43,Sad Girlz Luv Money (Remix),"Amaarae, Moliy, Kali Uchis",
2206,44,Foreign Things,Amber Mark,Three Dimensions Deep
2206,45,meant2b,Aminé,TWOPOINTFIVE
2206,46,better off,Ariana Grande,Sweetener
2206,47,goodnight n go,Ariana Grande,Sweetener
2206,48,in my head,Ariana Grande,Sweetener
